id,text,label,label_text
43861,"Фактически синей блузы после оплаты у продавца не оказалось. Поэтому пришлось долго ждать, пока она появилась, хотя в рекламе продавца она была. Качество оставляет желать лучшего, очень много торчащих ниток. Швы неаккуратно. А самое главное - неаккуратно пришить рюша на кокетка, все морщится, а шов на рюше спереди, на самом видном месте и это очень портит весь вид. Товаром не довольна и разочарована его качеством",1,neutral
36234,"майка конечно клевая , по отзывам заказала L. но оказалась мала (( за это снижаю оценку .... а качество хорошее тем более за такую цену",1,neutral
58602,"МЕГА быстрая доставка моих покупочек у этого продавца, чего я совсем не ожидала, но очень меня обрадовало. Теперь по качеству: цвет яркий, насыщенный, после стирки не полинял. Ткань приятная на ощупь, а самое главное к телу. На ночнушка имеется кружево, оно тоже мягкое, дискомфорта не вызывает. Размер подошёл на все 100%, значит замеры в размерной таблице правильные. Внешне ночнушка смотрится дорого и богато, чего я совсем не ожидала заплатив за неё символическую цену в 217 руб. Однозначно, покупка стоит потраченных денег. Если вы ищете ночную сорочку из качественной ткани, красивую и в которой вам будет комфортно, то эта именно то, что вы ищите. Покупайте не пожалеете. Я однозначно куплю ещё в другом цвете.",2,positive
45393,комментарий уже дан в изделии другого цвета,1,neutral
19921,"В первый раз сталкиваюсь с тем,что товар мне так и не отправили. Открыла спор, должны вернуть деньги. Прошло уже 2 недели,а денег так и нет. Продавцу писала три раза, он не отвечает...",0,negative
5705,"Продавец совершенно не понравился, спрашивала придёт ли платье до нового года( так как планировали в нем фотосессию) сказал да конечно, в итоге пришло после нг да ещё и рваное. Предлагала продавцу что бы вернул часть денег, он естественно отказался, алиэкспрес вернул полную сумму. Качество ужасное, только выкинуть. Не тратьте деньги.",0,negative
74000,"Hello Friend! Order received. Very fast! Many thanks! Sincerely, Alexander Nikolayev.",2,positive
6103,пришли почему то не чёрные а коричневые,0,negative
35325,"мятые, были плохо упакованы в обычный пакет.",1,neutral
22161,"Заказывала 2 раза здесь. Первый раз пришла кофточка, мне понравилось, в отзывах есть мой 1-й отзыв на отлично. Заказала 2-й раз. Ни товара, ни денег.",0,negative
75585,"Ехали месяц. Качество хорошее, размерная сетка соответствует. Рекомендую.",2,positive
